Aa,Ad,Ba,Bd,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,length
  0  ,  0  ,  0  ,  0  ,25.00,25.00,25.00,20.83,4.17 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,45.83,29.17,16.67,8.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,13
  0  ,  0  ,  0  ,  1  ,28.57,42.86,14.29,14.29,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,47.62,38.10,9.52 ,4.76 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9
  0  ,  0  ,  0  ,  2  ,33.75,48.18,7.56 ,10.50,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,35.99,40.76,20.73,2.52 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,17
  0  ,  0  ,  0  ,  3  ,37.43,45.50,7.14 ,9.92 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,33.99,44.05,19.58,2.38 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,18
  0  ,  0  ,  1  ,  0  ,23.08,42.31,15.38,19.23,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,30.77,38.46,15.38,11.54,3.85 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,14
  0  ,  0  ,  1  ,  1  ,33.33,24.44,28.89,6.67 ,6.67 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,26.67,26.67,37.78,8.89 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,16
  0  ,  0  ,  1  ,  2  ,39.08,26.85,21.97,8.42 ,3.68 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,25.49,29.80,36.79,7.92 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,29
  0  ,  0  ,  1  ,  3  ,35.09,37.94,19.08,7.89 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,24.12,24.34,27.19,17.76,6.58 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,19
  0  ,  0  ,  2  ,  0  ,19.93,34.10,25.96,20.02,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,28.52,42.96,14.26,11.43,2.83 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,19
  0  ,  0  ,  2  ,  1  ,33.33,24.44,28.89,6.67 ,6.67 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,26.67,26.67,37.78,8.89 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,16
