Aa,Ad,Ba,Bd,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,length
0,1,2,0,21.2766,25.5319,36.1702,10.6383,6.3830,0.0000,0.0000,0.0000,0.0000,0.0000,38.2979,40.4255,14.8936,6.3830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47
0,1,2,1,34.3750,39.0625,17.1875,9.3750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.3125,28.1250,21.8750,4.6875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64
0,1,2,2,33.3333,46.6667,13.3333,6.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,33.3333,20.0000,6.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30
0,1,2,3,26.7857,50.0000,16.0714,7.1429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.2143,37.5000,25.0000,10.7143,3.5714,0.0000,0.0000,0.0000,0.0000,0.0000,56
0,1,3,0,21.2766,29.7872,38.2979,8.5106,2.1277,0.0000,0.0000,0.0000,0.0000,0.0000,36.1702,34.0426,21.2766,8.5106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47
0,1,3,1,35.1852,31.4815,24.0741,9.2593,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.1852,31.4815,20.3704,11.1111,1.8519,0.0000,0.0000,0.0000,0.0000,0.0000,54
0,1,3,2,33.9286,42.8571,17.8571,5.3571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.1429,35.7143,17.8571,12.5000,1.7857,0.0000,0.0000,0.0000,0.0000,0.0000,56
0,1,3,3,48.8889,31.1111,8.8889,6.6667,4.4444,0.0000,0.0000,0.0000,0.0000,0.0000,17.7778,28.8889,24.4444,26.6667,2.2222,0.0000,0.0000,0.0000,0.0000,0.0000,45
0,2,0,0,11.1111,55.5556,24.4444,6.6667,2.2222,0.0000,0.0000,0.0000,0.0000,0.0000,48.8889,31.1111,17.7778,2.2222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45
0,2,0,1,19.0476,50.0000,14.2857,9.5238,7.1429,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,23.8095,23.8095,2.3810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42
0,2,0,2,45.0000,32.5000,12.5000,5.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.5000,32.5000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40
0,2,0,3,45.4545,36.3636,13.6364,4.5455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.6364,31.8182,27.2727,2.2727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44
0,2,1,0,14.6341,41.4634,34.1463,7.3171,2.4390,0.0000,0.0000,0.0000,0.0000,0.0000,43.9024,29.2683,19.5122,7.3171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41
0,2,1,1,25.5814,37.2093,23.2558,11.6279,2.3256,0.0000,0.0000,0.0000,0.0000,0.0000,44.1860,32.5581,20.9302,2.3256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43
0,2,1,2,24.4444,42.2222,26.6667,4.4444,2.2222,0.0000,0.0000,0.0000,0.0000,0.0000,35.5556,35.5556,24.4444,4.4444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45
0,2,1,3,21.1538,48.0769,25.0000,3.8462,1.9231,0.0000,0.0000,0.0000,0.0000,0.0000,26.9231,44.2308,25.0000,3.8462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52
0,2,2,0,14.2857,32.6531,40.8163,10.2041,2.0408,0.0000,0.0000,0.0000,0.0000,0.0000,34.6939,44.8980,14.2857,6.1224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49
0,2,2,1,26.6667,38.3333,23.3333,10.0000,1.6667,0.0000,0.0000,0.0000,0.0000,0.0000,36.6667,38.3333,21.6667,3.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60
0,2,2,2,33.3333,44.4444,17.7778,4.4444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.3333,37.7778,22.2222,6.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45
0,2,2,3,43.6364,38.1818,14.5455,3.6364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0000,41.8182,27.2727,7.2727,1.8182,0.0000,1.8182,0.0000,0.0000,0.0000,55
0,2,3,0,16.6667,33.3333,38.8889,9.2593,1.8519,0.0000,0.0000,0.0000,0.0000,0.0000,35.1852,42.5926,16.6667,5.5556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54
0,2,3,1,23.4043,46.8085,21.2766,6.3830,2.1277,0.0000,0.0000,0.0000,0.0000,0.0000,31.9149,40.4255,23.4043,4.2553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47
0,2,3,2,45.4545,36.3636,14.5455,3.6364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0909,34.5455,25.4545,7.2727,1.8182,0.0000,1.8182,0.0000,0.0000,0.0000,55
0,2,3,3,60.0000,32.0000,4.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.0000,36.0000,20.0000,8.0000,4.0000,0.0000,4.0000,0.0000,0.0000,0.0000,25
0,3,0,0,11.9048,50.0000,23.8095,11.9048,2.3810,0.0000,0.0000,0.0000,0.0000,0.0000,47.6190,30.9524,19.0476,2.3810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42
0,3,0,1,20.8333,45.8333,14.5833,12.5000,6.2500,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,27.0833,20.8333,2.0833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48
